PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,ExitSpeed,,,
85,2024-09-13,1,1,,,UCO_AVP,"Minick, Tyler",Right ,UCO_HUS,3,Bottom,0,0,0,Slider,InPlay,Undefined,LineDrive,HomeRun,0,1,102.4,,,
86,2024-09-13,2,1,,,UCO_AVP,"Dalena, Maddix",Left,UCO_HUS,3,Bottom,0,0,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,
87,2024-09-13,2,2,,,UCO_AVP,"Dalena, Maddix",Left,UCO_HUS,3,Bottom,0,0,1,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,,,
88,2024-09-13,2,3,,,UCO_AVP,"Dalena, Maddix",Left,UCO_HUS,3,Bottom,0,0,2,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,
89,2024-09-13,2,4,,,UCO_AVP,"Dalena, Maddix",Left,UCO_HUS,3,Bottom,0,1,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,,
90,2024-09-13,2,5,,,UCO_AVP,"Dalena, Maddix",Left,UCO_HUS,3,Bottom,0,2,2,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,
91,2024-09-13,2,6,,,UCO_AVP,"Dalena, Maddix",Left,UCO_HUS,3,Bottom,0,3,2,Fastball,BallCalled,Walk,Undefined,Undefined,0,0,,,,
92,2024-09-13,3,1,,,UCO_AVP,"Padilla, Bryan",Right,UCO_HUS,3,Bottom,0,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,,
93,2024-09-13,3,2,,,UCO_AVP,"Padilla, Bryan",Right,UCO_HUS,3,Bottom,0,1,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,
94,2024-09-13,3,3,,,UCO_AVP,"Padilla, Bryan",Right,UCO_HUS,3,Bottom,0,1,1,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,
