PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,ExitSpeed,,,,,,,
113,2025-01-04,2,4,"Shaw, Greg",Right,UCO_HUS,"Dougherty, Aidan",Right,UCO_HUS,3,Top,0,0,2,Slider,InPlay,Undefined,GroundBall,Single,0,0,88.4,,,,,,,
114,2025-01-05,3,1,"Shaw, Greg",Right,UCO_HUS,"Suchy, Cayden",Left,UCO_HUS,3,Top,0,0,0,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
115,2025-01-06,3,2,"Shaw, Greg",Right,UCO_HUS,"Suchy, Cayden",Left,UCO_HUS,3,Top,0,0,1,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
116,2025-01-07,3,3,"Shaw, Greg",Right,UCO_HUS,"Suchy, Cayden",Left,UCO_HUS,3,Top,0,1,1,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
117,2025-01-08,3,4,"Shaw, Greg",Right,UCO_HUS,"Suchy, Cayden",Left,UCO_HUS,3,Top,0,2,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
118,2025-01-09,3,5,"Shaw, Greg",Right,UCO_HUS,"Suchy, Cayden",Left,UCO_HUS,3,Top,0,3,1,Fastball,InPlay,Undefined,GroundBall,Error,0,1,94.2,,,,,,,
119,2025-01-10,4,1,"Shaw, Greg",Right,UCO_HUS,"Lane, Connor",Right,UCO_HUS,3,Top,0,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
120,2025-01-11,4,2,"Shaw, Greg",Right,UCO_HUS,"Lane, Connor",Right,UCO_HUS,3,Top,0,1,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
121,2025-01-12,4,3,"Shaw, Greg",Right,UCO_HUS,"Lane, Connor",Right,UCO_HUS,3,Top,0,2,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
122,2025-01-13,4,4,"Shaw, Greg",Right,UCO_HUS,"Lane, Connor",Right,UCO_HUS,3,Top,0,2,1,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,,,,,,,
123,2025-01-14,4,5,"Shaw, Greg",Right,UCO_HUS,"Lane, Connor",Right,UCO_HUS,3,Top,0,2,2,Slider,InPlay,Undefined,LineDrive,Error,0,2,95,,,,,,,
