PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,ExitSpeed
113,9/12/24,3,2,"West, Charlie",Left,UCO_HUS,"Lane, Connor",Right,UCO_HUS,4,Bottom,1,0,1,Curveball,InPlay,Undefined,GroundBall,Single,0,0,69.5
114,9/12/24,4,1,"West, Charlie",Left,UCO_HUS,"Belisario, Anthony",Right,UCO_HUS,4,Bottom,1,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,
115,9/12/24,4,2,"West, Charlie",Left,UCO_HUS,"Belisario, Anthony",Right,UCO_HUS,4,Bottom,1,0,1,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,
116,9/12/24,4,3,"West, Charlie",Left,UCO_HUS,"Belisario, Anthony",Right,UCO_HUS,4,Bottom,1,0,2,Changeup,Ballcalled,Undefined,Undefined,Undefined,0,0,
117,9/12/24,4,4,"West, Charlie",Left,UCO_HUS,"Belisario, Anthony",Right,UCO_HUS,4,Bottom,1,1,2,Fastball,StrikeSwinging,Strikeout,Undefined,Out,1,0,
118,9/12/24,5,1,"West, Charlie",Left,UCO_HUS,"Shpur, Caleb",Right,UCO_HUS,4,Bottom,2,0,0,Fastball ,StrikeCalled,Undefined,Undefined,Undefined,0,0,
119,9/12/24,5,2,"West, Charlie",Left,UCO_HUS,"Shpur, Caleb",Right,UCO_HUS,4,Bottom,2,0,1,Curveball,BallCalled,Undefined,Undefined,PassedBall,0,0,
120,9/12/24,5,3,"West, Charlie",Left,UCO_HUS,"Shpur, Caleb",Right,UCO_HUS,4,Bottom,2,1,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
121,9/12/24,5,4,"West, Charlie",Left,UCO_HUS,"Shpur, Caleb",Right,UCO_HUS,4,Bottom,2,2,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
122,9/12/24,5,5,"West, Charlie",Left,UCO_HUS,"Shpur, Caleb",Right,UCO_HUS,4,Bottom,2,3,1,Fastball,BallCalled,Walk,Undefined,Undefined,0,0,
123,9/12/24,6,1,"West, Charlie",Left,UCO_HUS,"Biller, Sam",Left,UCO_HUS,4,Bottom,2,0,0,Fastball,FoulBallFieldable,Undefined,Undefined,Out,1,0,84.4
124,9/12/24,1,1,"Norrell, Owen",Left,UCO_HUS,"Dalena, Maddix",Left,UCO_HUS,5,Top,0,0,0,Fastball,InPlay,Undefined,GroundBall,Single,0,0,91.5
125,9/12/24,2,1,"Norrell, Owen",Left,UCO_HUS,"Groen, Carter",Right,UCO_HUS,5,Top,0,0,0,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,
126,9/12/24,2,2,"Norrell, Owen",Left,UCO_HUS,"Groen, Carter",Right,UCO_HUS,5,Top,0,0,1,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,
127,9/12/24,2,3,"Norrell, Owen",Left,UCO_HUS,"Groen, Carter",Right,UCO_HUS,5,Top,0,0,2,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,90
128,9/12/24,2,4,"Norrell, Owen",Left,UCO_HUS,"Groen, Carter",Right,UCO_HUS,5,Top,0,0,2,Slider,StrikeSwinging,Strikeout,Undefined,Out,1,0,
129,9/12/24,3,1,"Norrell, Owen",Left,UCO_HUS,"LaRose, Jack",Left,UCO_HUS,5,Top,1,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,
130,9/12/24,3,2,"Norrell, Owen",Left,UCO_HUS,"LaRose, Jack",Left,UCO_HUS,5,Top,1,0,1,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,
131,9/12/24,3,3,"Norrell, Owen",Left,UCO_HUS,"LaRose, Jack",Left,UCO_HUS,5,Top,1,0,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,
132,9/12/24,3,4,"Norrell, Owen",Left,UCO_HUS,"LaRose, Jack",Left,UCO_HUS,5,Top,1,1,2,Fastball ,BallCalled,Undefined,Undefined,Undefined,0,0,
133,9/12/24,3,5,"Norrell, Owen",Left,UCO_HUS,"LaRose, Jack",Left,UCO_HUS,5,Top,1,2,2,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,82.2
134,9/12/24,3,6,"Norrell, Owen",Left,UCO_HUS,"LaRose, Jack",Left,UCO_HUS,5,Top,1,2,2,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
